pastel,#99BC85,#BFD8AF,#D4E7C5,#E1F0DA,1687,https://colorhunt.co//palette/e1f0dad4e7c5bfd8af99bc85
pastel,#E6A4B4,#F3D7CA,#FFF8E3,#F5EEE6,3213,https://colorhunt.co//palette/f5eee6fff8e3f3d7cae6a4b4
pastel,#638889,#9DBC98,#EBD9B4,#F9EFDB,2536,https://colorhunt.co//palette/f9efdbebd9b49dbc98638889
pastel,#FDFFAB,#FFCF81,#FFB996,#D9EDBF,1813,https://colorhunt.co//palette/d9edbfffb996ffcf81fdffab
pastel,#F9F7C9,#D5F0C1,#AAD9BB,#80BCBD,2667,https://colorhunt.co//palette/80bcbdaad9bbd5f0c1f9f7c9
pastel,#E5E1DA,#FBF9F1,#AAD7D9,#92C7CF,3349,https://colorhunt.co//palette/92c7cfaad7d9fbf9f1e5e1da
pastel,#FFE5E5,#E0AED0,#AC87C5,#756AB6,4001,https://colorhunt.co//palette/756ab6ac87c5e0aed0ffe5e5
pastel,#F6D6D6,#F6F7C4,#A1EEBD,#7BD3EA,2376,https://colorhunt.co//palette/7bd3eaa1eebdf6f7c4f6d6d6
pastel,#CD8D7A,#DBCC95,#EAECCC,#C3E2C2,2359,https://colorhunt.co//palette/c3e2c2eaecccdbcc95cd8d7a
pastel,#F2F1EB,#EEE7DA,#AFC8AD,#88AB8E,4655,https://colorhunt.co//palette/88ab8eafc8adeee7daf2f1eb
pastel,#B1C381,#EEC759,#FFF7D4,#9BB8CD,2257,https://colorhunt.co//palette/9bb8cdfff7d4eec759b1c381
pastel,#8ACDD7,#F9F9E0,#FFC0D9,#FF90BC,4354,https://colorhunt.co//palette/ff90bcffc0d9f9f9e08acdd7
pastel,#B06161,#DC8686,#F0DBAF,#7ED7C1,2273,https://colorhunt.co//palette/7ed7c1f0dbafdc8686b06161
pastel,#89B9AD,#C7DCA7,#FFEBD8,#FFC5C5,6487,https://colorhunt.co//palette/ffc5c5ffebd8c7dca789b9ad
pastel,#776B5D,#B0A695,#EBE3D5,#F3EEEA,8720,https://colorhunt.co//palette/f3eeeaebe3d5b0a695776b5d
pastel,#3A4D39,#4F6F52,#739072,#ECE3CE,9173,https://colorhunt.co//palette/ece3ce7390724f6f523a4d39
pastel,#FAF8ED,#748E63,#99B080,#F9B572,3104,https://colorhunt.co//palette/f9b57299b080748e63faf8ed
pastel,#D6C7AE,#BFB29E,#B3A492,#DADDB1,4677,https://colorhunt.co//palette/daddb1b3a492bfb29ed6c7ae
pastel,#FFF8C9,#DFCCFB,#D0BFFF,#BEADFA,5708,https://colorhunt.co//palette/beadfad0bfffdfccfbfff8c9
pastel,#CDFAD5,#F6FDC3,#FFCF96,#FF8080,5632,https://colorhunt.co//palette/ff8080ffcf96f6fdc3cdfad5
pastel,#8EACCD,#D7E5CA,#F9F3CC,#D2E0FB,8015,https://colorhunt.co//palette/d2e0fbf9f3ccd7e5ca8eaccd
pastel,#D0E7D2,#B0D9B1,#79AC78,#618264,10952,https://colorhunt.co//palette/61826479ac78b0d9b1d0e7d2
pastel,#EDB7ED,#82A0D8,#8DDFCB,#ECEE81,3607,https://colorhunt.co//palette/ecee818ddfcb82a0d8edb7ed
pastel,#EBEF95,#EFD595,#EFB495,#EF9595,6240,https://colorhunt.co//palette/ef9595efb495efd595ebef95
pastel,#FFEEF4,#E4E4D0,#AEC3AE,#94A684,9001,https://colorhunt.co//palette/94a684aec3aee4e4d0ffeef4
pastel,#BEADFA,#D0BFFF,#DFCCFB,#FFF3DA,9371,https://colorhunt.co//palette/fff3dadfccfbd0bfffbeadfa
pastel,#F1F0E8,#EEE0C9,#ADC4CE,#96B6C5,15634,https://colorhunt.co//palette/96b6c5adc4ceeee0c9f1f0e8
pastel,#FFD9B7,#7EAA92,#9ED2BE,#C8E4B2,5660,https://colorhunt.co//palette/c8e4b29ed2be7eaa92ffd9b7
pastel,#9E9FA5,#C4C1A4,#FFF6DC,#FFC6AC,8705,https://colorhunt.co//palette/ffc6acfff6dcc4c1a49e9fa5
pastel,#DBC4F0,#FFCACC,#D4E2D4,#FAF3F0,9437,https://colorhunt.co//palette/faf3f0d4e2d4ffcaccdbc4f0
pastel,#7C9D96,#E9B384,#F4F2DE,#A1CCD1,9494,https://colorhunt.co//palette/a1ccd1f4f2dee9b3847c9d96
pastel,#FDFFAE,#E9FFC2,#C3EDC0,#AAC8A7,4696,https://colorhunt.co//palette/aac8a7c3edc0e9ffc2fdffae
pastel,#CBFFA9,#FFFEC4,#FFD6A5,#FF9B9B,6688,https://colorhunt.co//palette/ff9b9bffd6a5fffec4cbffa9
pastel,#85A389,#A2CDB0,#FFD89C,#F1C27B,4692,https://colorhunt.co//palette/f1c27bffd89ca2cdb085a389
pastel,#F7FFE5,#E1ECC8,#C4D7B2,#A0C49D,12912,https://colorhunt.co//palette/a0c49dc4d7b2e1ecc8f7ffe5
pastel,#116A7B,#CDC2AE,#ECE5C7,#C2DEDC,7323,https://colorhunt.co//palette/c2dedcece5c7cdc2ae116a7b
pastel,#967E76,#D7C0AE,#EEE3CB,#9BABB8,13506,https://colorhunt.co//palette/9babb8eee3cbd7c0ae967e76
pastel,#374259,#545B77,#5C8984,#F2D8D8,5316,https://colorhunt.co//palette/f2d8d85c8984545b77374259
pastel,#F2BED1,#FDCEDF,#F8E8EE,#F9F5F6,20953,https://colorhunt.co//palette/f9f5f6f8e8eefdcedff2bed1
pastel,#F8F6F4,#E3F4F4,#D2E9E9,#C4DFDF,15724,https://colorhunt.co//palette/c4dfdfd2e9e9e3f4f4f8f6f4
pastel,#73A9AD,#B3C890,#DBDFAA,#F5F0BB,6023,https://colorhunt.co//palette/f5f0bbdbdfaab3c89073a9ad
pastel,#EEEEEE,#E1D4BB,#CBB279,#537188,5001,https://colorhunt.co//palette/537188cbb279e1d4bbeeeeee
pastel,#FFEAD2,#DBDFEA,#ACB1D6,#8294C4,12421,https://colorhunt.co//palette/8294c4acb1d6dbdfeaffead2
pastel,#EDC6B1,#B7B7B7,#7C96AB,#BFCCB5,7328,https://colorhunt.co//palette/bfccb57c96abb7b7b7edc6b1
